,Fide id,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,firstName,lastName
7083,1036963,NED,F,1992.0,none,1862,1931.0,1925.0,wa,Schakel, Lemmy
7084,34166391,RUS,F,2005.0,none,1862,1687.0,1712.0,wa,Shpakivskaya, Alina
7085,5068487,IND,F,1996.0,none,1862,1966.0,1937.0,wi,Shweta, Gole
7086,34111449,RUS,F,2001.0,none,1862,1783.0,1774.0,wa,Skomorokhina, Ekaterina
7087,5028710,IND,F,1991.0,none,1862,1931.0,1925.0,wi,Velu, Gayatri
7088,1623125,AUT,F,1983.0,none,1862,1857.0,1805.0,wa,Zechner, Andrea
7089,16207521,GER,F,1998.0,none,1861,1931.0,1764.0,wi,Carlstedt, Felicitas Ophelia
7090,34127612,RUS,F,2002.0,none,1861,1625.0,1601.0,wa,Chemborisova, Elina
7091,816787,ITA,F,1987.0,none,1861,1931.0,1925.0,wi,Clappa, Ilaria
7092,21807531,POL,F,2004.0,none,1861,1898.0,1843.0,wa,Czarnecka, Lidia
7093,32017553,ESP,F,1996.0,none,1861,1765.0,1925.0,wa,De Dios Dorado, Ana
7094,4803116,IRQ,F,1988.0,WIM,1861,1897.0,1906.0,wi,Ibraheem, Delbak Ismael Ibraheem
7095,13409263,AZE,F,1993.0,none,1861,1931.0,1925.0,wa,Ismayilova, Narmin
7096,1232002,ROU,F,2000.0,none,1861,1668.0,1680.0,wi,Jakab, Kincso
7097,5300800,LBN,F,1990.0,WFM,1861,1876.0,1949.0,wi,Jalloul, Maya
7098,1119168,POL,F,1981.0,none,1861,1931.0,1925.0,wi,Jasik, Anna
7099,24621676,GER,F,1987.0,none,1861,1931.0,1925.0,wi,Kaplun, Viktoria
7100,5088070,IND,F,2002.0,none,1861,1422.0,1394.0,wa,Kaur, Palkin
7101,1035223,NED,F,1994.0,none,1861,1931.0,1852.0,wi,Kirana, Nancy
7102,900486,SRB,F,1995.0,none,1861,1865.0,1925.0,wi,Korbovljanovic, Natasa
7103,1140124,POL,F,1991.0,none,1861,1931.0,1925.0,wi,Mierska, Agnieszka
7104,944874,SRB,F,1992.0,none,1861,1931.0,1925.0,wi,Nedeljkovic, Jelena
7105,13730096,KAZ,F,2009.0,WCM,1861,1564.0,1582.0,wa,Nurgaliyeva, Zarina
7106,1801996,WLS,F,1995.0,none,1861,1931.0,1831.0,wi,Owens, Megan R
7107,24137979,RUS,F,1993.0,none,1861,1885.0,1925.0,wi,Parakhoni, Anna
7108,918679,CRO,F,1945.0,none,1861,1931.0,1925.0,wi,Popov, Radmila
7109,14204940,UZB,F,2001.0,none,1861,1701.0,1698.0,wa,Salimova, Asal
