Fide id,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,firstName,lastName
8602689,CHN,F,1986,WGM,2433,2464,2311,wa,Huang, Qian
8604070,CHN,F,1995,WGM,2426,2421,2378,wa,Wang, Jue
8602972,CHN,F,1991,WGM,2422,2349,2313,wa,Ding, Yixin
8604002,CHN,F,1995,International_Master,2418,2446,2338,wa,Guo, Qi
8603162,CHN,F,1989,International_Master,2401,2383,2331,wa,Shen, Yang
8608466,CHN,F,1997,WGM,2389,2377,2186,wa,Ni, Shiqun
8600406,CHN,F,1974,WGM,2387,1931,1925,wi,Wang, Pin
8600201,CHN,F,1996,WGM,2366,2351,2342,wa,Zhai, Mo
8605912,CHN,F,1993,WGM,2328,2171,2091,wa,Li, Xueyi
8600643,CHN,F,1978,International_Master,2323,2363,2263,wa,Li, Ruofan
8601089,CHN,F,1981,WGM,2317,2294,2281,wa,Xu, Yuanyuan
8603219,CHN,F,1989,WGM,2307,2348,2265,wa,Zhang, Xiaowen
8606161,CHN,F,1996,WGM,2301,2202,2205,wa,Xiao, Yiyi
8601097,CHN,F,1982,International_Master,2294,2233,2291,wa,Wang, Yu A.
8600376,CHN,F,1968,WGM,2270,1931,1925,wi,Ning, Chunhong
8602611,CHN,F,1985,WGM,2263,2221,2174,wa,Gu, Xiaobing
8600392,CHN,F,1961,WGM,2175,1931,1925,wi,Wu, Mingqian
8602417,CHN,F,1983,WGM,2106,2170,1925,wi,Tian, Tian
8600279,CHN,F,1962,WGM,2083,1931,1925,wi,Liu, Shilan
4404564,COL,F,1996,International_Master,2257,2312,2199,wi,Rodriguez Rueda, Paula Andrea
4401778,COL,F,1986,WGM,2153,2232,2209,wi,Ortiz, Nadya Karolina
4402618,COL,F,1987,WGM,2103,2050,2106,wa,Franco Valencia, Beatriz Irene
4699360,HRV,F,1992,WGM,2346,1931,1925,wi,Stock, Lara
14534215,HRV,F,2001,FIDE_Master,2242,1951,2016,wa,Cvitan, Ena
4501993,HRV,F,1990,WGM,2209,2195,2164,wa,Golubenko, Valentina
14501619,HRV,F,1964,WGM,2207,2232,2154,wa,Medic, Mirjana
3506940,CUB,F,1988,International_Master,2369,2290,2301,wa,Ordaz Valdes, Lisandra Teresa
3503151,CUB,F,1981,WGM,2302,1931,2315,wi,Pina Vega, Sulennis
3511685,CUB,F,1992,WGM,2262,1931,2156,wa,Hernandez Moya, Yuleisy
3504794,CUB,F,1983,WGM,2215,1931,2357,wa,Linares Napoles, Oleiny
3501418,CUB,F,1971,WGM,2204,2261,2185,wa,Arribas Robaina, Maritza
3501280,CUB,F,1963,WGM,2140,1931,2105,wa,Ramon Pita, Vivian
3503950,CUB,F,1983,WGM,2139,1931,2319,wi,Marrero Lopez, Yaniet
3501434,CUB,F,1963,WGM,2049,1931,2129,wa,Frometa Castillo, Zirka
308498,CZE,F,1982,International_Master,2402,1931,1925,wi,Jackova, Jana
1118080,CZE,F,1986,WGM,2326,2307,2157,wa,Worek, Joanna
304050,CZE,F,1976,WGM,2303,1931,1925,wi,Krupkova, Petra
320242,CZE,F,1993,WGM,2286,2173,2176,wa,Olsarova, Karolina
307033,CZE,F,1975,WGM,2205,2111,2256,wa,Sikorova, Olga
300683,CZE,F,1959,WGM,2183,2227,2172,wa,Richtrova, Eliska
